PREFERRED_NAME,LONG_NAME,PREFERRED_DEFINITION,EVS_SOURCE,ORIGIN,DEFINITION_SOURCE,
C143190,Eosinophilia,A disorder characterized by laboratory test results that indicate an increased number of eosinophils in the blood.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143191,Methemoglobinemia,A disorder characterized by laboratory test results that indicate increased methemoglobin in the blood.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143192,Cyanosis,A disorder characterized by a bluish discoloration of the skin and/or mucous membranes.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143193,Hypophysitis,A disorder characterized by inflammation and cellular infiltration of the pituitary gland.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143194,Hypopituitarism,A disorder characterized by a decrease in production of hormones from the pituitary gland.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143195,Testosterone deficiency,A disorder characterized by low testosterone.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143196,Vision decreased,A disorder characterized by a decrease in visual acuity.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143197,Anal fissure,A disorder characterized by a tear in the lining of the anus.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143198,Belching,To expel gas noisily from the mouth.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143199,Chylous ascites,A disorder characterized by accumulation of milky fluid in the peritoneal cavity.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143200,Rectal fissure,A disorder characterized by a tear in the lining of the rectum.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143201,Disease progression,Death due to disease progression that cannot be attributed to a CTCAE term associated with Grade 5.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143202,Generalized edema,A disorder characterized by fluid accumulation in the tissues of the body including the skin.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143203,Vaccination site lymphadenopathy,A disorder characterized by lymph node enlargement after vaccination,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143204,Budd-Chiari syndrome,"A disorder characterized by occlusion of the hepatic veins and typically presents with abdominal pain, ascites and hepatomegaly.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143205,Sinusoidal obstruction syndrome,A disorder characterized by severe hepatic injury as a result of the blood vessels of the liver becoming inflamed and/or blocked.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143206,Bacteremia,A disorder characterized by the presence of bacteria in the blood stream.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143207,Cytomegalovirus infection reactivation,A disorder characterized by the reactivation of cytomegalovirus (CMV).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143208,Epstein-Barr virus infection reactivation,A disorder characterized by the reactivation of Epstein-Barr virus (EBV).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143209,Folliculitis,A disorder characterized by inflammation or infection of the hair follicles.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143210,Fungemia,A disorder characterized by the presence of fungus in the blood stream.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143211,Hepatitis B reactivation,A disorder characterized by the reactivation of hepatitis B virus.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143212,Herpes simplex reactivation,A disorder characterized by the reactivation of Herpes simplex virus,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143213,Shingles,A disorder characterized by the reactivation of herpes zoster virus.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143214,Thrush,A disorder characterized by a suspected candidal infection involving an oral mucosal surface.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143215,Viremia,A disorder characterized by the presence of a virus in the blood stream.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143216,Vaccination complication,"A disorder that occurs after the injection of a substance with antigenic properties, administered to activate the immune system.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143217,Blood bicarbonate decreased,A finding based on laboratory test results that indicate a decrease in levels of bicarbonate in a venous blood specimen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
