Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
depression_questionnaire_children_felt_miserable,phenx_depression_questionnaire_children,,radio,I felt miserable or unhappy.,"0,Not True|1,Sometimes|2,True",PX121702,,,,,,,,,,
depression_questionnaire_children_enjoy,phenx_depression_questionnaire_children,,radio,I didn't enjoy anything at all.,"0, Not True | 1, Sometimes | 2, True",PX121702,,,,,,,,,,
depression_questionnaire_children_sat_around,phenx_depression_questionnaire_children,,radio,I felt so tired I just sat around and did nothing.,"0,Not True|1,Sometimes|2,True",PX121702,,,,,,,,,,
depression_questionnaire_children_restless,phenx_depression_questionnaire_children,,radio,I was very restless.,"0,Not True|1,Sometimes|2,True",PX121702,,,,,,,,,,
depression_questionnaire_children_no_good,phenx_depression_questionnaire_children,,radio,I felt I was no good anymore.,"0,Not True|1,Sometimes|2,True",PX121702,,,,,,,,,,
depression_questionnaire_children_cried,phenx_depression_questionnaire_children,,radio,I cried a lot.,"0, Not True | 1, Sometimes | 2, True",PX121702,,,,,,,,,,
depression_questionnaire_children_hard_to_think,phenx_depression_questionnaire_children,,radio,I found it hard to think properly or concentrate.,"0,Not True|1,Sometimes|2,True",PX121702,,,,,,,,,,
depression_questionnaire_children_hate_myself,phenx_depression_questionnaire_children,,radio,I hated myself.,"0,Not True|1,Sometimes|2,True",PX121702,,,,,,,,,,
depression_questionnaire_children_bad_person,phenx_depression_questionnaire_children,,radio,I was a bad person.,"0,Not True|1,Sometimes|2,True",PX121702,,,,,,,,,,
depression_questionnaire_children_felt_lonely,phenx_depression_questionnaire_children,,radio,I felt lonely.,"0, Not True | 1, Sometimes | 2, True",PX121702,,,,,,,,,,
depression_questionnaire_children_loved_me,phenx_depression_questionnaire_children,,radio,I thought nobody really loved me.,"0, Not True | 1, Sometimes | 2, True",PX121702,,,,,,,,,,
depression_questionnaire_children_good_other_kids,phenx_depression_questionnaire_children,,radio,I thought I could never be as good as other kids.,"0,Not True|1,Sometimes|2,True",PX121702,,,,,,,,,,
depression_questionnaire_children_everything_wrong,phenx_depression_questionnaire_children,,radio,I did everything wrong.,"0, Not True | 1, Sometimes | 2, True",PX121702,,,,,,,,,,
