Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
desc1_21702,phenx_serial_pregnancy_weight_weights_measured_during_gestat,,descriptive,"Weights Measured during Gestation (Research Protocol)Gestational ages, date of initial examination, and pre-pregnancy weight are abstracted from medical records (also described in the protocol, Weights Abstracted from Prenatal Charts). Weight in pregnancy is measured at prenatal or research visits using a research protocol (see Measured Weight). Height can be collected by self-report (see Self-reported Height) or, preferably, by measurement in the 1st trimester (see Standing Height).Most obstetric practices and prenatal clinics use a standardized form to chart prenatal course. The American Congress of Obstetricians and Gynecologists (ACOG, formerly the American College of Obstetricians and Gynecologists) has an Antenatal Record form that is periodically upgraded and available for its members. There are others, such as the POPRAS (Problem Oriented Perinatal Risk Assessment System) or Hollister Maternal/Newborn Record System forms, which are also in common use. All of the standardized forms have places or spaces to report information on gestational age, pre-pregnancy weight, and dates of examination, and these can be abstracted. For women carrying a singleton fetus, the expected schedule of prenatal visits suggested by ACOG is monthly through the 7th month (28 weeks), every 2-3 weeks through the 9th month (36 weeks), and weekly thereafter until delivery. The gestational age at delivery can be found in the labor and delivery chart.",,PX021702,,,,,,,,,,
acog_form_b_21702,phenx_serial_pregnancy_weight_weights_measured_during_gestat,,descriptive,"An example of the relevant section of the ACOG Antenatal Record Form B (Initial Physical Exam) which charts date of exam, pre-pregnancy weight, and height:",,PX021702,,,,,,,,,,
acog_form_c_21702,phenx_serial_pregnancy_weight_weights_measured_during_gestat,,descriptive,An example of the relevant section of the ACOG Antenatal Record Form C which contains the date of the woman's last menstrual period (LMP) and estimated due date(s) (EDD) for establishing (or correcting) gestational age at each prenatal visit:,,PX021702,,,,,,,,,,
pxt21702_serialweights_prenatal_initialexamination_date,phenx_serial_pregnancy_weight_weights_measured_during_gestat,,text,What is the date of initial examination,,PX021702,date_mdy,,,,,,,,,
pxt21702_serialweights_prenatal_initialexamination_height,phenx_serial_pregnancy_weight_weights_measured_during_gestat,,text,What is the patient's height measured at initial examination?,,centimeters | | PX021702,,,,,,,,,,
pxt21702_serialweights_prenatal_initialexamination_weight,phenx_serial_pregnancy_weight_weights_measured_during_gestat,,text,What is the patient's weight measured at initial examination?,,kilograms | | PX021702,,,,,,,,,,
serialweights_prenatal_date_visit_1,phenx_serial_pregnancy_weight_weights_measured_during_gestat,,text,What is the date of today's prenatal examination?,,PX021702,date_mdy,,,,,,,,,
serialweights_prenatal_gestationalage_visit_1,phenx_serial_pregnancy_weight_weights_measured_during_gestat,,text,What is the patient's gestational age at today's prenatal examination?,,weeks | | PX021702,number,,,,,,,,,
serialweights_prenatal_height_visit_1,phenx_serial_pregnancy_weight_weights_measured_during_gestat,,text,What is the patient's height at today's prenatal examination?,,centimeters | | PX021702,,,,,,,,,,
serialweights_prenatal_weight_visit_1,phenx_serial_pregnancy_weight_weights_measured_during_gestat,,text,What is the patient's weight at today's prenatal examination?,,kilograms | | PX021702,,,,,,,,,,
pxt21702_serialweights_prenatal_date_visit_2,phenx_serial_pregnancy_weight_weights_measured_during_gestat,,text,What is the date of today's prenatal examination?,,PX021702,date_mdy,,,,,,,,,
pxt21702_serialweights_prenatal_gestationalage_visit_2,phenx_serial_pregnancy_weight_weights_measured_during_gestat,,text,What is the patient's gestational age at today's prenatal examination?,,weeks | | PX021702,number,,,,,,,,,
pxt21702_serialweights_prenatal_height_visit_2,phenx_serial_pregnancy_weight_weights_measured_during_gestat,,text,What is the patient's height at today's prenatal examination?,,centimeters | | PX021702,,,,,,,,,,
pxt21702_serialweights_prenatal_weight_visit_2,phenx_serial_pregnancy_weight_weights_measured_during_gestat,,text,What is the patient's weight at today's prenatal examination?,,kilograms | | PX021702,,,,,,,,,,
pxt21702_serialweights_prenatal_date_visit_3,phenx_serial_pregnancy_weight_weights_measured_during_gestat,,text,What is the date of today's prenatal examination?,,PX021702,date_mdy,,,,,,,,,
pxt21702_serialweights_prenatal_gestationalage_visit_3,phenx_serial_pregnancy_weight_weights_measured_during_gestat,,text,What is the patient's gestational age at today's prenatal examination?,,weeks | | PX021702,number,,,,,,,,,
pxt21702_serialweights_prenatal_height_visit_3,phenx_serial_pregnancy_weight_weights_measured_during_gestat,,text,What is the patient's height at today's prenatal examination?,,centimeters | | PX021702,,,,,,,,,,
pxt21702_serialweights_prenatal_weight_visit_3,phenx_serial_pregnancy_weight_weights_measured_during_gestat,,text,What is the patient's weight at today's prenatal examination?,,kilograms | | PX021702,,,,,,,,,,
