Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
household_chaos_unpredictability_commotion,phenx_household_chaos_and_unpredictability,,radio,There is very little commotion in our home.,"UNDEFINED_CODE_1,TRUE|UNDEFINED_CODE_2,FALSE",PX300501,,,,,,,,,,
household_chaos_unpredictability_find_things,phenx_household_chaos_and_unpredictability,,radio,We can usually find things when we need them.,"UNDEFINED_CODE_1,TRUE|UNDEFINED_CODE_2,FALSE",PX300501,,,,,,,,,,
household_chaos_unpredictability_feel_rushed,phenx_household_chaos_and_unpredictability,,radio,We almost always seem to be rushed.,"UNDEFINED_CODE_1,TRUE|UNDEFINED_CODE_2,FALSE",PX300501,,,,,,,,,,
household_chaos_unpredictability_engaged,phenx_household_chaos_and_unpredictability,,radio,We are usually able to stay on top of things.,"UNDEFINED_CODE_1,TRUE|UNDEFINED_CODE_2,FALSE",PX300501,,,,,,,,,,
household_chaos_unpredictability_running_late,phenx_household_chaos_and_unpredictability,,radio,"No matter how hard we try, we always seem to be running late.","UNDEFINED_CODE_1,TRUE|UNDEFINED_CODE_2,FALSE",PX300501,,,,,,,,,,
household_chaos_unpredictability_zoo_home,phenx_household_chaos_and_unpredictability,,radio,It's a real zoo in our home.,"UNDEFINED_CODE_1,TRUE|UNDEFINED_CODE_2,FALSE",PX300501,,,,,,,,,,
household_chaos_unpredictability_interruption,phenx_household_chaos_and_unpredictability,,radio,At home we can talk to each other without being interrupted.,"UNDEFINED_CODE_1,TRUE|UNDEFINED_CODE_2,FALSE",PX300501,,,,,,,,,,
household_chaos_unpredictability_fuss,phenx_household_chaos_and_unpredictability,,radio,There is often a fuss going on at our home.,"UNDEFINED_CODE_1,TRUE|UNDEFINED_CODE_2,FALSE",PX300501,,,,,,,,,,
household_chaos_unpredictability_family_plans_fail,phenx_household_chaos_and_unpredictability,,radio,"No matter what our family plans, it usually doesn't seem to work out.","UNDEFINED_CODE_1,TRUE|UNDEFINED_CODE_2,FALSE",PX300501,,,,,,,,,,
household_chaos_unpredictability_hear_yourself,phenx_household_chaos_and_unpredictability,,radio,You can't hear yourself think in our home.,"UNDEFINED_CODE_1,TRUE|UNDEFINED_CODE_2,FALSE",PX300501,,,,,,,,,,
household_chaos_unpredictability_other_people_arguments,phenx_household_chaos_and_unpredictability,,radio,I often get drawn into other people's arguments at home.,"UNDEFINED_CODE_1,TRUE|UNDEFINED_CODE_2,FALSE",PX300501,,,,,,,,,,
household_chaos_unpredictability_home_relax,phenx_household_chaos_and_unpredictability,,radio,Our home is a good place to relax.,"UNDEFINED_CODE_1,TRUE|UNDEFINED_CODE_2,FALSE",PX300501,,,,,,,,,,
household_chaos_unpredictability_telephone_home,phenx_household_chaos_and_unpredictability,,radio,The telephone takes up a lot of our time at home.,"UNDEFINED_CODE_1,TRUE|UNDEFINED_CODE_2,FALSE",PX300501,,,,,,,,,,
household_chaos_unpredictability_atmosphere_calm,phenx_household_chaos_and_unpredictability,,radio,The atmosphere in our home is calm.,"UNDEFINED_CODE_1,TRUE|UNDEFINED_CODE_2,FALSE",PX300501,,,,,,,,,,
household_chaos_unpredictability_regular_routine_home,phenx_household_chaos_and_unpredictability,,radio,"First thing in the day, we have a regular routine at home.","UNDEFINED_CODE_1,TRUE|UNDEFINED_CODE_2,FALSE",PX300501,,,,,,,,,,
