Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
instructions_070601,phenx_cancer_personal_and_family_history,,descriptive,"Please answer the following questions about you and your ""blood"" relatives. Do not include adopted, half and step relatives. ",,PX070601,,,,,,,,,,
self_gender,phenx_cancer_personal_and_family_history,YOURSELF,radio,Gender?,"UNDEFINED_CODE,Male|UNDEFINED_CODE_1,Female",PX070601,,,,,,,,,,
self_alive,phenx_cancer_personal_and_family_history,,radio,Alive?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX070601,,,,,,,,,,
self_age,phenx_cancer_personal_and_family_history,,radio,Current age or age at death?,"UNDEFINED_CODE,<50|UNDEFINED_CODE_1,50-64|UNDEFINED_CODE_2,65+",PX070601,,,,,,,,,,
self_ever_cancer_diagnosis,phenx_cancer_personal_and_family_history,,radio,Never had cancer?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX070601,,,,,,,,,,
self_first_cancer_diagnosis,phenx_cancer_personal_and_family_history,,checkbox,First cancer diagnosis?,"UNDEFINED_CODE, Breast Cancer | UNDEFINED_CODE_1, Ovarian Cancer | UNDEFINED_CODE_2, Endometrial Cancer | UNDEFINED_CODE_3, Cervix Cancer | UNDEFINED_CODE_4, Lymphoma | UNDEFINED_CODE_5, Melanoma | UNDEFINED_CODE_6, Colon/Rectal Cancer | UNDEFINED_CODE_7, Lung Cancer | UNDEFINED_CODE_8, Prostate Cancer | UNDEFINED_CODE_9, Pancreas Cancer | UNDEFINED_CODE_10, Thyroid Cancer | UNDEFINED_CODE_11, Other Cancer",PX070601,,,,,[self_ever_cancer_diagnosis] = 'UNDEFINED_CODE_1',,,,,
self_first_cancer_diagnosis_age,phenx_cancer_personal_and_family_history,,radio,Current age or age at death?,"UNDEFINED_CODE,<50|UNDEFINED_CODE_1,50-64|UNDEFINED_CODE_2,65+",PX070601,,,,,[self_ever_cancer_diagnosis] = 'UNDEFINED_CODE_1',,,,,
self_second_cancer_diagnosis,phenx_cancer_personal_and_family_history,,checkbox,Second or other cancer diagnoses?,"UNDEFINED_CODE, Breast Cancer | UNDEFINED_CODE_1, Ovarian Cancer | UNDEFINED_CODE_2, Endometrial Cancer | UNDEFINED_CODE_3, Colon/Rectal Cancer | UNDEFINED_CODE_4, Melanoma | UNDEFINED_CODE_5, Prostate Cancer | UNDEFINED_CODE_6, Other Cancer",PX070601,,,,,[self_ever_cancer_diagnosis] = 'UNDEFINED_CODE_1',,,,,
mother_gender,phenx_cancer_personal_and_family_history,MOTHER,radio,Gender?,"UNDEFINED_CODE,Female",PX070601,,,,,,,,,,
mother_alive,phenx_cancer_personal_and_family_history,,radio,Alive?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX070601,,,,,,,,,,
mother_age,phenx_cancer_personal_and_family_history,,radio,Current age or age at death?,"UNDEFINED_CODE,<50|UNDEFINED_CODE_1,50-64|UNDEFINED_CODE_2,65+",PX070601,,,,,,,,,,
mother_ever_cancer_diagnosis,phenx_cancer_personal_and_family_history,,radio,Never had cancer?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX070601,,,,,,,,,,
mother_first_cancer_diagnosis,phenx_cancer_personal_and_family_history,,checkbox,First cancer diagnosis?,"UNDEFINED_CODE, Breast Cancer | UNDEFINED_CODE_1, Ovarian Cancer | UNDEFINED_CODE_2, Endometrial Cancer | UNDEFINED_CODE_3, Cervix Cancer | UNDEFINED_CODE_4, Lymphoma | UNDEFINED_CODE_5, Melanoma | UNDEFINED_CODE_6, Colon/Rectal Cancer | UNDEFINED_CODE_7, Lung Cancer | UNDEFINED_CODE_8, Pancreas Cancer | UNDEFINED_CODE_9, Thyroid Cancer | UNDEFINED_CODE_10, Other Cancer",PX070601,,,,,[mother_ever_cancer_diagnosis] = 'UNDEFINED_CODE_1',,,,,
mother_first_cancer_diagnosis_age,phenx_cancer_personal_and_family_history,,radio,Current age or age at death?,"UNDEFINED_CODE,<50|UNDEFINED_CODE_1,50-64|UNDEFINED_CODE_2,65+",PX070601,,,,,[mother_ever_cancer_diagnosis] = 'UNDEFINED_CODE_1',,,,,
mother_second_cancer_diagnosis,phenx_cancer_personal_and_family_history,,checkbox,Second or other cancer diagnoses?,"UNDEFINED_CODE, Breast Cancer | UNDEFINED_CODE_1, Ovarian Cancer | UNDEFINED_CODE_2, Endometrial Cancer | UNDEFINED_CODE_3, Colon/Rectal Cancer | UNDEFINED_CODE_4, Melanoma | UNDEFINED_CODE_5, Other Cancer",PX070601,,,,,[mother_ever_cancer_diagnosis] = 'UNDEFINED_CODE_1',,,,,
father_gender,phenx_cancer_personal_and_family_history,FATHER,radio,Gender?,"UNDEFINED_CODE,Male",PX070601,,,,,,,,,,
father_alive,phenx_cancer_personal_and_family_history,,radio,Alive?,"UNDEFINED_CODE,Yes|UNDEFINED_CODE_1,No",PX070601,,,,,,,,,,
father_age,phenx_cancer_personal_and_family_history,,radio,Current age or age at death?,"UNDEFINED_CODE,<50|UNDEFINED_CODE_1,50-64|UNDEFINED_CODE_2,65+",PX070601,,,,,,,,,,
